NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT06799754,Unknown,COMPLETED,2020-07-19,Endometriosis,No interventions listed,Bologna - Italy,2023-01-31,2025-01-29,2025-01-29,OBSERVATIONAL,Not Available,IRCCS Azienda Ospedaliero-Universitaria di Bologna,OTHER,endometriosis,all_disease_procesed.csv
NCT03824054,ENDO-RESECT,COMPLETED,2005-10-01,Endometriosis,colorectal resection,Rome - Italy,2017-11-30,2019-01-31,2019-03-28,OBSERVATIONAL,Not Available,Catholic University of the Sacred Heart,OTHER,endometriosis,all_disease_procesed.csv
NCT00212277,Unknown,COMPLETED,2005-02,Dysmenorrhea,"Norethindrone,Ethinyl Estradiol",No locations listed,2006-09,2005-09-21,2010-09-10,INTERVENTIONAL,PHASE3,Nobelpharma,INDUSTRY,endometriosis,all_disease_procesed.csv
NCT05788978,Unknown,COMPLETED,2023-03-16,"Endometriosis, Self Care, Behavior, Nursing Role",Scale development,Maltepe - Turkey,2024-04-01,2023-03-29,2024-12-16,OBSERVATIONAL,Not Available,Marmara University,OTHER,endometriosis,all_disease_procesed.csv
NCT03136978,Unknown,COMPLETED,2016-12,Endometriosis,Evaluation of M1 and M2 macrophages by flow cytometry.,Messina - Italy,2018-12,2017-05-02,2020-03-24,OBSERVATIONAL,Not Available,University of Messina,OTHER,endometriosis,all_disease_procesed.csv
NCT03744754,PREFENDO,RECRUITING,2018-12-04,Endometriosis,No interventions listed,Paris - France,2020-12,2018-11-16,2019-03-05,OBSERVATIONAL,Not Available,Assistance Publique - Hôpitaux de Paris,OTHER,endometriosis,all_disease_procesed.csv
NCT06577233,Unknown,RECRUITING,2024-08-28,Endometriosis,"Bupivacaine Hydrochloride, Normal saline",Houston - United States,2025-04-30,2024-08-29,2024-08-29,INTERVENTIONAL,PHASE4,Baylor College of Medicine,OTHER,endometriosis,all_disease_procesed.csv
NCT06495151,Unknown,COMPLETED,2022-06-10,"Endometriosis, Complement System, Alternative Complement Pathway","Mannose-binding lectin-associated serine protease-3 (MASP-3) Level, Adipsin Level, Properdin Level, Complement Factor H (CFH) Level, Cancer Antigen 125 (CA-125) Level",Ankara - Turkey,2022-09-12,2024-07-10,2024-07-12,OBSERVATIONAL,Not Available,Ankara City Hospital Bilkent,OTHER,endometriosis,all_disease_procesed.csv
NCT02973854,S1P1,COMPLETED,2016-09,Endometriosis,No interventions listed,Saint Louis - United States,2020-09-10,2016-11-25,2020-09-10,OBSERVATIONAL,Not Available,St. Louis University,OTHER,endometriosis,all_disease_procesed.csv
NCT00160433,Unknown,COMPLETED,2002-08,Endometriosis,"Asoprisnil, Asoprisnil, Asoprisnil, Placebo",No locations listed,2003-06,2005-09-12,2008-05-29,INTERVENTIONAL,PHASE2,Abbott,INDUSTRY,endometriosis,all_disease_procesed.csv
NCT05022238,H3TB,RECRUITING,2022-08-01,"Tuberculosis, Multidrug-Resistant",No interventions listed,Windhoek - Namibia,2025-09,2021-08-26,2024-10-24,OBSERVATIONAL,Not Available,University of Namibia,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01936831,Unknown,COMPLETED,2014-08-13,Tuberculosis,"Isoniazid, Vitamin B6","Port Au Prince - Haiti, Bellville - South Africa",2021-09-22,2013-09-06,2023-02-17,INTERVENTIONAL,PHASE2,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections,NETWORK,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT03164291,Unknown,COMPLETED,1984-06,Nontuberculous Mycobacterial Infections,Rifabutin,Tyler - United States,2006-09,2017-05-23,2017-05-23,INTERVENTIONAL,PHASE3,The University of Texas Health Science Center at Tyler,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00449644,Unknown,COMPLETED,2007-06,Tuberculosis,"TMC207, Placebo, Background regimen (BR) for MDR-TB (multi-drug resistant tuberculosis)","Rio De Janeiro - Brazil, Chennai - India, New Delhi - India, Stopinu Region - Latvia, Lima - Peru, Quezon City - Philippines, Moscow - Russian Federation, Bethelsdorp - South Africa, Cape Town - South Africa, Durban - South Africa, George - South Africa, Klerksdorp - South Africa, Sandringham - South Africa, Chiang Mai - Thailand, Nakhon - Thailand, Nonthaburi - Thailand",2010-03,2007-03-20,2014-04-29,INTERVENTIONAL,PHASE2,Janssen Infectious Diseases BVBA,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT04208789,Unknown,COMPLETED,2020-06-15,"MDR Tuberculosis, Resistance to Tuberculostatic Drugs","Rapid Molecular Drug-Resistant Tuberculosis Test, Artificial Intelligent Model, Drug Susceptibility Test","Balikpapan - Indonesia, Tarakan - Indonesia, Makasar - Indonesia, Makasar - Indonesia, Makassar - Indonesia",2020-09-30,2019-12-23,2020-10-27,OBSERVATIONAL,Not Available,Hasanuddin University,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00691392,S30PK,COMPLETED,2009-04,"Multi-Drug Resistant Tuberculosis, Extensively Drug Resistant Tuberculosis","Linezolid, Microcrystalline Methylcellulose - Placebo",Durban - South Africa,2010-05,2008-06-05,2012-08-17,INTERVENTIONAL,PHASE2,Centers for Disease Control and Prevention,FED,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT06674291,Unknown,NOT_YET_RECRUITING,2024-11-30,"Tuberculosis, Multidrug-Resistant",No intervention (observational study),No locations listed,2027-12-31,2024-11-05,2024-11-05,OBSERVATIONAL,Not Available,"Korea Otsuka Pharmaceutical Co., Ltd.",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02816931,TDM-MDR-TB,COMPLETED,2016-03,"Tuberculosis, Multidrug Resistant",No interventions listed,Xiamen - China,2018-09-01,2016-06-29,2020-10-14,OBSERVATIONAL,Not Available,Karolinska Institutet,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02875574,UK_DR-TB,COMPLETED,2016-11,Tuberculosis,"Any treatment regimen, Bacterial mutation",London - United Kingdom,2017-12,2016-08-23,2017-12-20,OBSERVATIONAL,Not Available,"University College, London",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02251327,(XpertDST),COMPLETED,2014-06-04,Tuberculosis,Investigational Xpert DST test,No locations listed,2015-06-15,2014-09-29,2018-08-22,OBSERVATIONAL,Not Available,Johns Hopkins University,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05040126,mBPaL,ACTIVE_NOT_RECRUITING,2021-10-07,"Pre-Extensively Drug-Resistant Pulmonary TB, Treatment Intolerant Multidrug-Resistant Pulmonary TB, Non-responsive Multidrug-Resistant Pulmonary TB","Linezolid, Bedaquiline, Pretomanid",Agra - India,2024-12-31,2021-09-10,2024-01-03,INTERVENTIONAL,PHASE3,"Tuberculosis Research Centre, India",OTHER_GOV,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02193776,NC-005,COMPLETED,2014-10-23,Tuberculosis,"PA-824, bedaquiline, moxifloxacin, pyrazinamide, isoniazid, rifampicin, pyrazinamide and ethambutol combination tablet","Tembisa - South Africa, Jouberton - South Africa, Cape Town - South Africa, Cape Town - South Africa, Durban - South Africa, Johannesburg - South Africa, Johannesburg - South Africa, Bagamoyo - Tanzania, Mbeya - Tanzania, Kampala - Uganda",2016-02-08,2014-07-18,2019-07-26,INTERVENTIONAL,PHASE2,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02583048,Unknown,COMPLETED,2016-08-15,"Tuberculosis, HIV Infections","Bedaquiline, Delamanid, Dolutegravir, Multidrug Background Treatment (MBT) for TB","Lima - Peru, Cape Town - South Africa, Cape Town - South Africa",2019-01-07,2015-10-21,2022-01-27,INTERVENTIONAL,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01600963,Unknown,WITHDRAWN,2014-03,Multi-drug Resistant Tuberculosis,"Arm A Double-blind Phase: TMC207, Arm B Double-blind Phase: Placebo, Treatment Failure During Double-blind Phase: TMC207, Treatment Failure During Follow-up Phase: TMC207","Porto Alegre - Brazil, Rio De Janeiro - Brazil, Sao Paulo - Brazil, Phnom Penh - Cambodia, Beijing - China, Changsha - China, Chongqing - China, Fuzhou - China, Jinan - China, Nanjing - China, Shanghai - China, Kohtla-Järve - Estonia, Talinn - Estonia, Addis Ababa - Ethiopia, Gondar - Ethiopia, Tbilisi - Georgia, Busan - Korea, Republic of, Daegu - Korea, Republic of, Gwangju - Korea, Republic of, Gyeongsangnam-Do - Korea, Republic of, Incheon - Korea, Republic of, Seoul - Korea, Republic of, Stopinu Region - Latvia, Monterrey - Mexico, Lima - Peru, Quezon City - Philippines, Arkhangelsk - Russian Federation, Ekaterinburg - Russian Federation, Moscow - Russian Federation, Novosibirsk - Russian Federation, Orel - Russian Federation, Saint-Petersburg - Russian Federation, Paarl - South Africa, Sandringham - South Africa, Ysterplaat - South Africa, Changhua County - Taiwan, New Taipei City - Taiwan, Taichung - Taiwan, Tainan - Taiwan, Nonthaburi - Thailand, Kecioren - Turkey, Donetsk - Ukraine, Kiev - Ukraine, Ternopil - Ukraine",2016-07,2012-05-17,2015-12-02,INTERVENTIONAL,PHASE3,Janssen Infectious Diseases BVBA,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00495339,Unknown,COMPLETED,2007-06,"Tuberculosis, Pulmonary",Levofloxacin,Moscow - Russian Federation,2008-04,2007-07-03,2009-03-04,INTERVENTIONAL,PHASE4,Sanofi,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT03086486,ZeNix,COMPLETED,2017-11-21,"Tuberculosis, Pulmonary, Tuberculosis, Multidrug-Resistant, Tuberculosis, MDR, Tuberculosis, Extensively Drug-Resistant Tuberculosis, Pre-XDR-TB, XDR-TB","Pretomanid, Linezolid, Bedaquiline, Placebo Linezolid","Tbilisi - Georgia, Chisinau - Moldova, Republic of, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Saint Petersburg - Russian Federation, Yekaterinburg - Russian Federation, Port Elizabeth - South Africa, Klerksdorp - South Africa, Durban - South Africa, Johannesburg - South Africa",2021-02-15,2017-03-22,2023-06-29,INTERVENTIONAL,PHASE3,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00727844,Unknown,COMPLETED,2008-07,"Pulmonary Tuberculosis, Multidrug Resistant Tuberculosis, Extensively Drug Resistant Tuberculosis","Immediate Start Linezolid, Delayed Start Linezolid","Changwon - Korea, Republic of, Seoul - Korea, Republic of",2012-10,2008-08-04,2016-03-14,INTERVENTIONAL,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01464762,Unknown,APPROVED_FOR_MARKETING,Unknown Date,Tuberculosis,TMC207,"Vilnius - Lithuania, Arkhangelsk - Russian Federation, Moscow - Russian Federation, Orel - Russian Federation, Saint-Petersburg - Russian Federation",Unknown Date,2011-11-04,2017-11-27,EXPANDED_ACCESS,Not Available,Janssen Infectious Diseases BVBA,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02573350,Unknown,COMPLETED,2009-03-26,"Tuberculosis, Multidrug-Resistant","Delamanid, OBR","Beijing - China, Tallinn - Estonia, Tartu - Estonia, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Riga - Latvia, Lima - Peru, Makati City - Philippines",2011-10-27,2015-10-09,2021-11-01,INTERVENTIONAL,PHASE2,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05045391,Unknown,ACTIVE_NOT_RECRUITING,2020-01-01,"Pulmonary Tuberculoses, Aspergillosis, Old Tuberculosis, Active Tuberculosis, Chronic Pulmonary Aspergillosis",Aspergillus IgG detection,Tashkent - Uzbekistan,2025-12-31,2021-09-16,2023-03-03,OBSERVATIONAL,Not Available,"Research Institute of Epidemiology, Microbiology and Infectious Diseases, Uzbekistan",OTHER_GOV,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05007795,T3-RCT,NOT_YET_RECRUITING,2023-07,"Tuberculosis, Multidrug-Resistant",Targeted sequencing using the GenoScreen Deeplex assay,Cape Town - South Africa,2026-08,2021-08-16,2023-07-27,INTERVENTIONAL,,University of Cape Town,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT04567368,Unknown,ACTIVE_NOT_RECRUITING,2021-05-14,"Tuberculosis, Resistance Bacterial, Diagnoses Disease",Xpert MTB/XDR,"Cape Town - South Africa, Johannesburg - South Africa",2024-12-30,2020-09-28,2024-10-01,OBSERVATIONAL,Not Available,"Foundation for Innovative New Diagnostics, Switzerland",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00341601,Unknown,COMPLETED,2005-01-03,Tuberculosis,No interventions listed,"Masan - Korea, Republic of, Seoul - Korea, Republic of",Unknown Date,2006-06-21,2018-04-05,OBSERVATIONAL,Not Available,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02342886,STAND,COMPLETED,2015-02,"Tuberculosis, Pulmonary, Drug Sensitive, Tuberculosis, Pulmonary, Multi Drug-resistant","Moxifloxacin, PA-824, Pyrazinamide, HRZE (Rifampicin, Isoniazid, Pyrazinamide, Ethambutol combination), HR (rifampicin plus isoniazid combination tablets)","Tbilisi - Georgia, Nairobi - Kenya, Nairobi - Kenya, Cheras - Malaysia, Batu Caves - Malaysia, Kuala Lumpur - Malaysia, Ermita - Philippines, Pio del Pilar - Philippines, Manila - Philippines, Bellville - South Africa, Mowbray - South Africa, Pretoria - South Africa, Tembisa - South Africa, Westdene - South Africa, Durban - South Africa, Klerksdorp - South Africa, Mamelodi East - South Africa, Brits - South Africa, Durban - South Africa, Klerksdorp - South Africa, Rustenburg - South Africa, Dar es Salaam - Tanzania, Mbeya - Tanzania, Mwanza - Tanzania, Kampala - Uganda, Lusaka - Zambia",2018-01,2015-01-21,2019-03-26,INTERVENTIONAL,PHASE3,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01856634,Unknown,COMPLETED,2013-06-14,"Multidrug Resistant Tuberculosis, Pediatric","100 mg Delamanid, 50 mg Delamanid, 25 mg Pediatric Formulation Delamanid, 10 mg Delamanid Pediatric Formulation, 5 mg Delamanid Pediatric Formulation, Optimized Background Regimen","Dasmariñas - Philippines, Ysterplaat - South Africa",2017-12-10,2013-05-17,2018-01-30,INTERVENTIONAL,PHASE1,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01498419,Unknown,COMPLETED,2012-03,Pulmonary Tuberculosis,"Moxifloxacin (M), Pretomid (Pa), Pyrazinamide (Z), Rifafour","Cape Town - South Africa, Cape Town - South Africa, Durban - South Africa, Johannesburg - South Africa, Klerksdorp - South Africa, Tembisa - South Africa, Bagamoyo - Tanzania, Mbeya - Tanzania",2013-04,2011-12-23,2018-06-28,INTERVENTIONAL,PHASE2,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00425113,Unknown,COMPLETED,2006-12,"Tuberculosis, Multi-Drug Resistant Tuberculosis","Metronidazole, Blood Draw, CT Scan, PET Scan","Masan - Korea, Republic of, Seoul - Korea, Republic of",2012-10,2007-01-22,2013-07-10,INTERVENTIONAL,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00664313,LiMiT,COMPLETED,2009-04,"Multi-drug Resistant Tuberculosis, Extensively Drug Resistant Tuberculosis","Linezolid, Placebo",Durban - South Africa,2010-09,2008-04-22,2012-10-02,INTERVENTIONAL,PHASE2,Centers for Disease Control and Prevention,FED,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT03507816,Unknown,UNKNOWN,2018-02-23,Tuberculosis,No interventions listed,Strasbourg - France,2020-02,2018-04-25,2019-04-30,OBSERVATIONAL,Not Available,"University Hospital, Strasbourg, France",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00000796,Unknown,COMPLETED,Unknown Date,"HIV Infections, Tuberculosis","Cycloserine, Ethionamide, Capreomycin sulfate, Aminosalicylic acid, Streptomycin sulfate, Ethambutol hydrochloride, Amikacin sulfate, Isoniazid, Pyrazinamide, Pyridoxine hydrochloride, Levofloxacin, Rifampin, Clofazimine","Chicago - United States, Detroit - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Bronx - United States, Brooklyn - United States, Brooklyn - United States, New York - United States, New York - United States, New York - United States, New York - United States, New York - United States, New York - United States, New York - United States, New York - United States",Unknown Date,2001-08-31,2021-11-03,INTERVENTIONAL,,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02597621,Unknown,COMPLETED,2013-03,"Tuberculosis, Multidrug-resistant",no intervention,Borstel - Germany,2020-12,2015-11-05,2024-04-11,OBSERVATIONAL,Not Available,Research Center Borstel,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01521364,Unknown,COMPLETED,2011-12,"Multidrug-resistant Tuberculosis, Extensively Drug-resistant Tuberculosis",Addition of different doses of clarithromycin.,Haren - Netherlands,2012-10,2012-01-30,2013-07-01,INTERVENTIONAL,PHASE4,University Medical Center Groningen,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02354014,Unknown,RECRUITING,2016-05-03,Multidrug-Resistant Tuberculosis,"Bedaquiline (TMC207), Background Regimen (BR)","Maputo - Mozambique, Dasmarinas - Philippines, Quezon City - Philippines, Moscow - Russian Federation, Durban - South Africa, Port Elizabeth - South Africa, Kampala - Uganda, Kiev - Ukraine",2027-02-11,2015-02-03,2025-02-28,INTERVENTIONAL,PHASE2,"Janssen Research & Development, LLC",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT06671808,Unknown,COMPLETED,2024-05-15,"HIV Infection, MDR-TB",Examination of HIV Infection in Patients with Multi-Drug Resistant Tuberculosis (MDR-TB),"Zahedan - Iran, Islamic Republic of",2024-08-22,2024-11-04,2024-11-04,OBSERVATIONAL,Not Available,Zahedan University of Medical Sciences,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02365623,Unknown,COMPLETED,2015-02-18,"Tuberculosis, Multidrug-Resistant","TMC207 (bedaquiline), Background Regimen (BR)","Kiyose - Japan, Sakai - Japan",2018-11-08,2015-02-19,2025-02-03,INTERVENTIONAL,PHASE2,Janssen Pharmaceutical K.K.,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT01859923,Unknown,COMPLETED,2013-07-20,Multidrug Resistant Tuberculosis,"Delamanid, Delamanid Pediatric Formulation (DPF), Optimized Background Regimen (OBR)","Dasmariñas - Philippines, Quezon City - Philippines, Ysterplaat - South Africa",2020-01-13,2013-05-22,2020-11-23,INTERVENTIONAL,PHASE2,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT04608955,WX-081,COMPLETED,2020-10-16,Pulmonary Tuberculosis,"WX-081, Bedaquiline, Standard treatment, Multi-drug background treatment (MBT)",Beijing - China,2022-04-13,2020-10-30,2023-09-11,INTERVENTIONAL,PHASE2,"Shanghai Jiatan Pharmatech Co., Ltd",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02333799,Unknown,COMPLETED,2015-03,Pulmonary Tuberculosis,"Bedaquiline, PA-824, Linezolid","Ysterplaat - South Africa, Sydenham - South Africa, Sandringham - South Africa",2019-01-14,2015-01-07,2024-08-09,INTERVENTIONAL,PHASE3,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02170441,GCDD,COMPLETED,2012-04,"Tuberculosis, Tuberculosis, Multidrug-Resistant",No interventions listed,"Mumbai - India, Chisinau - Moldova, Republic of, Cape Town - South Africa",2014-06,2014-06-23,2014-06-23,OBSERVATIONAL,Not Available,"University of California, San Diego",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT06476210,Unknown,RECRUITING,2024-06,Pulmonary Tuberculosis,BDL regimen,"Hefei - China, Beijing - China, Wuhan - China, Changsha - China, Changsha - China, Jinan - China, Chengdu - China",2025-06,2024-06-26,2024-06-26,INTERVENTIONAL,PHASE4,Beijing Chest Hospital,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02454738,Unknown,COMPLETED,2015-06,Latent Tuberculosis,Ultralow dose chest CT scan,"Seoul - Korea, Republic of",2016-06,2015-05-27,2016-06-07,INTERVENTIONAL,,Seoul National University Hospital,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02776150,PMTforDR-TB,UNKNOWN,2016-05,"Tuberculosis, Pulmonary",No interventions listed,No locations listed,2018-12,2016-05-18,2016-05-18,OBSERVATIONAL,Not Available,Beijing Hospital,OTHER_GOV,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02607449,FS-1,COMPLETED,2013-12,"Tuberculosis, MDR","FS-1, Placebo","Semey - Kazakhstan, Aktobe - Kazakhstan, Almaty - Kazakhstan, Almaty - Kazakhstan, Karaganda - Kazakhstan, Bishkek - Kyrgyzstan",2020-08,2015-11-18,2022-05-24,INTERVENTIONAL,PHASE3,"Scientific Center for Anti-infectious Drugs, Kazakhstan",INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02758236,TRIPOD,COMPLETED,2017-02-13,"Lung Tuberculosis, MDR TB",No Intervention,"Denpasar - Indonesia, Semarang - Indonesia, Jakarta - Indonesia, Surabaya - Indonesia, Medan - Indonesia, Makassar - Indonesia, Yogyakarta - Indonesia",2018-11-30,2016-05-02,2024-05-16,OBSERVATIONAL,Not Available,Ina-Respond,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02175849,SNAP,COMPLETED,2013-12,Tuberculosis Infection,No interventions listed,Hanoi - Vietnam,2015-09,2014-06-26,2016-11-15,OBSERVATIONAL,Not Available,"Oxford University Clinical Research Unit, Vietnam",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT04179500,PaSEM,COMPLETED,2021-09-16,"Tuberculosis, Pulmonary, Tuberculosis, Multidrug-Resistant, Tuberculosis, MDR, Tuberculosis, Drug-Resistant Tuberculosis","Pretomanid, Bedaquiline, moxifloxacin, pyrazinamide","Tbilisi - Georgia, Johannesburg - South Africa, Port Elizabeth - South Africa, Rustenburg - South Africa",2023-06-19,2019-11-27,2025-01-17,INTERVENTIONAL,PHASE2,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05007821,Unknown,ACTIVE_NOT_RECRUITING,2022-08-11,"Tuberculosis, Multidrug-Resistant, Tuberculosis, Tuberculosis, Pulmonary","Linezolid 600 mg, Linezolid 1200 mg (QD), Linezolid 1200 mg (TIW), Bedaquiline 200 mg, Bedaquiline 100 mg, Delamanid 300 mg, Clofazimine 300 mg, Clofazimine 100 mg","Gaborone - Botswana, Rio De Janeiro - Brazil, Port-au-Prince - Haiti, Port-au-Prince - Haiti, Lima - Peru, Cavite - Philippines, Johannesburg - South Africa, Durban - South Africa, Rustenburg - South Africa, Cape Town - South Africa, Cape Town - South Africa, Pathum Wan - Thailand, Chiang Mai - Thailand",2025-03-14,2021-08-16,2024-10-08,INTERVENTIONAL,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT03338621,Unknown,COMPLETED,2018-07-30,"Tuberculosis, Pulmonary, Tuberculosis, Multidrug-Resistant, Tuberculosis, MDR, Tuberculosis, Drug-Resistant Tuberculosis","Pretomanid, Bedaquiline, Moxifloxacin, Pyrazinamide, HRZE, HR","Rio de Janeiro - Brazil, Rio de Janeiro - Brazil, Tbilisi - Georgia, Kuala Lumpur - Malaysia, Manila - Philippines, Manila - Philippines, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Sankt Petersburg - Russian Federation, Yekaterinburg - Russian Federation, Pietermaritzburg - South Africa, Brits - South Africa, Cape Town - South Africa, Cape Town - South Africa, Durban - South Africa, Durban - South Africa, Johannesburg - South Africa, Klerksdorp - South Africa, Port Elizabeth - South Africa, Soshanguve - South Africa, Bagamoyo - Tanzania, Mbeya - Tanzania, Moshi - Tanzania, Mwanza - Tanzania, Kampala - Uganda",2021-07-01,2017-11-09,2024-03-07,INTERVENTIONAL,PHASE3,Global Alliance for TB Drug Development,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05359315,Unknown,UNKNOWN,2022-04-15,Pulmonary Tuberculosis,Interferon-Gamma,Moscow - Russian Federation,2022-08-01,2022-05-03,2022-06-01,OBSERVATIONAL,Not Available,SPP Pharmaclon Ltd.,INDUSTRY,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT03409315,PERFECT,UNKNOWN,2018-02-10,"Tuberculosis, Multidrug-Resistant",Centralized Therapeutic Drug Monitoring,"Brisbane - Australia, Minsk - Belarus, Rio De Janeiro - Brazil, Athens - Greece, Bologna - Italy, Upeslejas - Latvia, Mexico City - Mexico, Haren - Netherlands, Vila Nova De Gaia - Portugal, Cape Town - South Africa, Stockholm - Sweden, Sanya Juu - Tanzania, London - United Kingdom",2020-11,2018-01-24,2019-10-10,OBSERVATIONAL,Not Available,University Medical Center Groningen,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05633056,ADAP-TIV,RECRUITING,2023-03-07,"Multi Drug Resistant Tuberculosis, HIV Infections",Adherence support intevention,Durban - South Africa,2025-02,2022-12-01,2024-08-26,INTERVENTIONAL,,Columbia University,OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT00001407,Unknown,COMPLETED,1994-05,"Pneumonia, Pulmonary Tuberculosis",Interferon Gamma,Bethesda - United States,Unknown Date,1999-11-04,2008-03-04,INTERVENTIONAL,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT05553236,TSELiOT,RECRUITING,2024-08-01,"Drug-resistant Tuberculosis, HIV Coinfection, Cost-Benefit Analysis",Targeted next-generation sequencing,Cape Town - South Africa,2027-01,2022-09-23,2024-10-16,INTERVENTIONAL,,"University of California, San Francisco",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT06441006,PRISM-TB,NOT_YET_RECRUITING,2025-01-15,"Tuberculosis, Pulmonary, Tuberculosis, Multidrug-Resistant, Tuberculosis, MDR","Bedaquiline, Linezolid, Pretomanid, Moxifloxacin, Control Arm FQ-S MDR/RR-TB regimen, designed according to latest WHO guidelines","Chisinau - Moldova, Republic of, Ulaanbaatar - Mongolia, Lima - Peru, Lima - Peru, Lima - Peru, Dasmariñas - Philippines, Durban - South Africa, Klerksdorp - South Africa, Port Elizabeth - South Africa, Hanoi - Vietnam",2029-06-30,2024-06-04,2024-12-05,INTERVENTIONAL,PHASE3,"University of California, San Francisco",OTHER,drug_resistant_tuberculosis,all_disease_procesed.csv
NCT02236078,BBA,COMPLETED,2015-11,"Tuberculosis, Drug-resistant Tuberculosis, Isoniazid Resistant Tuberculosis (Disorder)",High dose isoniazid,Chennai - India,2020-09-30,2014-09-10,2020-10-19,INTERVENTIONAL,PHASE1,Centers for Disease Control and Prevention,FED,drug_resistant_tuberculosis,all_disease_procesed.csv
